,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
60,OBJECT_ANALOG_INPUT_3000474,NAE02/FC-2.NAE2-T2-FEC28.RA-CO2A
61,OBJECT_ANALOG_INPUT_3000475,NAE02/FC-2.NAE2-T2-FEC28.RA-CO2B
62,OBJECT_ANALOG_INPUT_3000476,NAE02/FC-2.NAE2-T2-FEC28.RA-CO2C
63,OBJECT_ANALOG_INPUT_3000477,NAE02/FC-2.NAE2-T2-FEC28.RA-CO2D
64,OBJECT_ANALOG_INPUT_3000478,NAE02/FC-2.NAE2-T2-FEC28.RA-CO2E
65,OBJECT_ANALOG_INPUT_3000480,NAE02/FC-2.NAE2-T2-FEC28.SA-T
66,OBJECT_ANALOG_INPUT_3000483,NAE02/FC-2.NAE2-T2-FEC28.ZN1-T
67,OBJECT_ANALOG_INPUT_3000485,NAE02/FC-2.NAE2-T2-FEC28.ZN2-T
68,OBJECT_ANALOG_INPUT_3000487,NAE02/FC-2.NAE2-T2-FEC28.ZN3-T
69,OBJECT_ANALOG_INPUT_3000489,NAE02/FC-2.NAE2-T2-FEC28.ZN4-T
70,OBJECT_ANALOG_INPUT_3000496,NAE02/FC-2.NAE2-T2-FEC28.OA-F
71,OBJECT_ANALOG_INPUT_3000515,NAE02/FC-2.NAE2-T2-FEC10.ZN2-T
72,OBJECT_ANALOG_INPUT_3000517,NAE02/FC-2.NAE2-T2-FEC10.ZN1-T
73,OBJECT_ANALOG_INPUT_3000535,NAE02/FC-2.NAE2-T2-FEC11.ZN1-T
74,OBJECT_ANALOG_INPUT_3000551,NAE02/FC-2.NAE2-T2-FEC12.ZN2-T
75,OBJECT_ANALOG_INPUT_3000553,NAE02/FC-2.NAE2-T2-FEC12.ZN1-T
76,OBJECT_ANALOG_INPUT_3000569,NAE02/FC-2.NAE2-T2-FEC13.ZN2-T
77,OBJECT_ANALOG_INPUT_3000571,NAE02/FC-2.NAE2-T2-FEC13.ZN1-T
78,OBJECT_ANALOG_INPUT_3000587,NAE02/FC-2.NAE2-T2-FEC14.ZN2-T
79,OBJECT_ANALOG_INPUT_3000589,NAE02/FC-2.NAE2-T2-FEC14.ZN1-T
80,OBJECT_ANALOG_INPUT_3000605,NAE02/FC-2.NAE2-T2-FEC15.ZN2-T
81,OBJECT_ANALOG_INPUT_3000607,NAE02/FC-2.NAE2-T2-FEC15.ZN1-T
82,OBJECT_ANALOG_INPUT_3000623,NAE02/FC-2.NAE2-T2-FEC16.ZN2-T
83,OBJECT_ANALOG_INPUT_3000625,NAE02/FC-2.NAE2-T2-FEC16.ZN1-T
84,OBJECT_ANALOG_INPUT_3000636,NAE02/FC-2.NAE2-T2-FEC5.FLOOR-P1
85,OBJECT_ANALOG_INPUT_3000639,NAE02/FC-2.NAE2-T2-FEC5.FLOOR-P2
86,OBJECT_ANALOG_INPUT_3000650,NAE02/FC-2.NAE2-T2-FEC5.RA-CO2A
87,OBJECT_ANALOG_INPUT_3000651,NAE02/FC-2.NAE2-T2-FEC5.RA-CO2B
88,OBJECT_ANALOG_INPUT_3000652,NAE02/FC-2.NAE2-T2-FEC5.RA-CO2C
89,OBJECT_ANALOG_INPUT_3000653,NAE02/FC-2.NAE2-T2-FEC5.RA-CO2D
90,OBJECT_ANALOG_INPUT_3000654,NAE02/FC-2.NAE2-T2-FEC5.RA-CO2E
91,OBJECT_ANALOG_INPUT_3000656,NAE02/FC-2.NAE2-T2-FEC5.SA-T
92,OBJECT_ANALOG_INPUT_3000659,NAE02/FC-2.NAE2-T2-FEC5.ZN1-T
93,OBJECT_ANALOG_INPUT_3000661,NAE02/FC-2.NAE2-T2-FEC5.ZN2-T
94,OBJECT_ANALOG_INPUT_3000663,NAE02/FC-2.NAE2-T2-FEC5.ZN3-T
95,OBJECT_ANALOG_INPUT_3000665,NAE02/FC-2.NAE2-T2-FEC5.ZN4-T
96,OBJECT_ANALOG_INPUT_3000672,NAE02/FC-2.NAE2-T2-FEC5.OA-F
97,OBJECT_ANALOG_INPUT_3000691,NAE02/FC-2.NAE2-T2-FEC6.ZN2-T
98,OBJECT_ANALOG_INPUT_3000693,NAE02/FC-2.NAE2-T2-FEC6.ZN1-T
99,OBJECT_ANALOG_INPUT_3000709,NAE02/FC-2.NAE2-T2-FEC7.ZN2-T
100,OBJECT_ANALOG_INPUT_3000711,NAE02/FC-2.NAE2-T2-FEC7.ZN1-T
101,OBJECT_ANALOG_INPUT_3000727,NAE02/FC-2.NAE2-T2-FEC8.ZN2-T
102,OBJECT_ANALOG_INPUT_3000729,NAE02/FC-2.NAE2-T2-FEC8.ZN1-T
103,OBJECT_ANALOG_INPUT_3000745,NAE02/FC-2.NAE2-T2-FEC9.ZN2-T
104,OBJECT_ANALOG_INPUT_3000747,NAE02/FC-2.NAE2-T2-FEC9.ZN1-T
105,OBJECT_ANALOG_INPUT_3000763,NAE02/FC-1.NAE2-T1-FEC71.ZN2-T
106,OBJECT_ANALOG_INPUT_3000765,NAE02/FC-1.NAE2-T1-FEC71.ZN1-T
107,OBJECT_ANALOG_INPUT_3000781,NAE02/FC-1.NAE2-T1-FEC72.ZN2-T
108,OBJECT_ANALOG_INPUT_3000783,NAE02/FC-1.NAE2-T1-FEC72.ZN1-T
109,OBJECT_ANALOG_INPUT_3000799,NAE02/FC-1.NAE2-T1-FEC73.ZN2-T
110,OBJECT_ANALOG_INPUT_3000801,NAE02/FC-1.NAE2-T1-FEC73.ZN1-T
111,OBJECT_ANALOG_INPUT_3000817,NAE02/FC-1.NAE2-T1-FEC74.ZN2-T
112,OBJECT_ANALOG_INPUT_3000819,NAE02/FC-1.NAE2-T1-FEC74.ZN1-T
113,OBJECT_ANALOG_INPUT_3000835,NAE02/FC-1.NAE2-T1-FEC75.ZN2-T
114,OBJECT_ANALOG_INPUT_3000837,NAE02/FC-1.NAE2-T1-FEC75.ZN1-T
115,OBJECT_ANALOG_INPUT_3000853,NAE02/FC-1.NAE2-T1-FEC76.ZN2-T
