,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
59,OBJECT_ANALOG_INPUT_3000412,NAE03/FC-2.NAE3-T2-FEC5.ZN2-T
60,OBJECT_ANALOG_INPUT_3000414,NAE03/FC-2.NAE3-T2-FEC5.ZN3-T
61,OBJECT_ANALOG_INPUT_3000416,NAE03/FC-2.NAE3-T2-FEC5.ZN4-T
62,OBJECT_ANALOG_INPUT_3000423,NAE03/FC-2.NAE3-T2-FEC5.OA-F
63,OBJECT_ANALOG_INPUT_3000442,NAE03/FC-2.NAE3-T2-FEC6.ZN2-T
64,OBJECT_ANALOG_INPUT_3000444,NAE03/FC-2.NAE3-T2-FEC6.ZN1-T
65,OBJECT_ANALOG_INPUT_3000460,NAE03/FC-2.NAE3-T2-FEC7.ZN2-T
66,OBJECT_ANALOG_INPUT_3000462,NAE03/FC-2.NAE3-T2-FEC7.ZN1-T
67,OBJECT_ANALOG_INPUT_3000478,NAE03/FC-2.NAE3-T2-FEC8.ZN2-T
68,OBJECT_ANALOG_INPUT_3000480,NAE03/FC-2.NAE3-T2-FEC8.ZN1-T
69,OBJECT_ANALOG_INPUT_3000496,NAE03/FC-2.NAE3-T2-FEC9.ZN2-T
70,OBJECT_ANALOG_INPUT_3000498,NAE03/FC-2.NAE3-T2-FEC9.ZN1-T
71,OBJECT_ANALOG_INPUT_3000509,NAE03/FC-1.NAE3-T1-FEC31.FLOOR-P1
72,OBJECT_ANALOG_INPUT_3000512,NAE03/FC-1.NAE3-T1-FEC31.FLOOR-P2
73,OBJECT_ANALOG_INPUT_3000523,NAE03/FC-1.NAE3-T1-FEC31.RA-CO2A
74,OBJECT_ANALOG_INPUT_3000524,NAE03/FC-1.NAE3-T1-FEC31.RA-CO2B
75,OBJECT_ANALOG_INPUT_3000525,NAE03/FC-1.NAE3-T1-FEC31.RA-CO2C
76,OBJECT_ANALOG_INPUT_3000526,NAE03/FC-1.NAE3-T1-FEC31.RA-CO2D
77,OBJECT_ANALOG_INPUT_3000527,NAE03/FC-1.NAE3-T1-FEC31.RA-CO2E
78,OBJECT_ANALOG_INPUT_3000529,NAE03/FC-1.NAE3-T1-FEC31.SA-T
79,OBJECT_ANALOG_INPUT_3000532,NAE03/FC-1.NAE3-T1-FEC31.ZN1-T
80,OBJECT_ANALOG_INPUT_3000534,NAE03/FC-1.NAE3-T1-FEC31.ZN2-T
81,OBJECT_ANALOG_INPUT_3000536,NAE03/FC-1.NAE3-T1-FEC31.ZN3-T
82,OBJECT_ANALOG_INPUT_3000538,NAE03/FC-1.NAE3-T1-FEC31.ZN4-T
83,OBJECT_ANALOG_INPUT_3000545,NAE03/FC-1.NAE3-T1-FEC31.OA-F
84,OBJECT_ANALOG_INPUT_3000564,NAE03/FC-1.NAE3-T1-FEC32.ZN2-T
85,OBJECT_ANALOG_INPUT_3000566,NAE03/FC-1.NAE3-T1-FEC32.ZN1-T
86,OBJECT_ANALOG_INPUT_3000582,NAE03/FC-1.NAE3-T1-FEC33.ZN2-T
87,OBJECT_ANALOG_INPUT_3000584,NAE03/FC-1.NAE3-T1-FEC33.ZN1-T
88,OBJECT_ANALOG_INPUT_3000600,NAE03/FC-1.NAE3-T1-FEC34.ZN2-T
89,OBJECT_ANALOG_INPUT_3000602,NAE03/FC-1.NAE3-T1-FEC34.ZN1-T
90,OBJECT_ANALOG_INPUT_3000618,NAE03/FC-1.NAE3-T1-FEC35.ZN2-T
91,OBJECT_ANALOG_INPUT_3000620,NAE03/FC-1.NAE3-T1-FEC35.ZN1-T
92,OBJECT_ANALOG_INPUT_3000636,NAE03/FC-1.NAE3-T1-FEC36.ZN2-T
93,OBJECT_ANALOG_INPUT_3000638,NAE03/FC-1.NAE3-T1-FEC36.ZN1-T
